CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010819	1.022046	0.53346	1.019251	0.53596	1.06089	0.76074	0.70038	0.6342	0.956312	1.05811	0.977782	0.60967	1.068449	0.61157	0.66826	0.78486	1.044621
TWAS21010821	0.83486	0.67135	0.8168	1.10967	0.23682	0.57607	0.25456	0.907932	0.8042	0.45673	0.88032	1.030302	0.46424	0.88335	1.23619	0.52539	0.53847
TWAS21010822	1.06412	0.60939	1.07444	0.53015	1.11777	1.25906	1.19831	1.14392	1.063727	1.081229	1.0043135	0.71131	1.082651	0.6647	1.15892	1.14689	1.10485
TWAS21010823	1.10566	0.90395	1.096989	1.33184	1.13203	0.88764	0.75926	1.10441	1.096791	1.11128	1.21509	0.964994	1.11053	0.978749	1.30226	1.059104	1.10316
TWAS21010824	1.091078	0.62779	1.11007	0.61623	1.1231	0.956837	0.63394	0.22254	0.9900334	1.021241	0.988624	0.607	1.060812	0.67047	0.82662	1.028637	1.085633
TWAS21010901	1.055625	0.61205	1.065179	0.52587	1.10845	0.88012	0.68921	0.51993	0.9985514	1.019502	0.948469	0.69725	1.019886	0.72481	0.7109	0.84172	1.072631
TWAS21010902	0.935288	0.48852	0.88247	0.50303	0.543	1.16313	1.28023	1.020775	1.035731	0.946091	0.82609	0.49446	0.936924	0.54547	0.51337	0.936415	0.85592
TWAS21010903	1.06436	0.57874	1.10041	0.50823	1.12639	1.027323	0.61006	0.55968	1.0012734	1.081005	0.91298	0.58964	1.098218	0.63101	0.76073	0.912476	1.10849
TWAS21010904	1.055112	0.85481	1.027182	1.31289	1.067474	0.7584	0.7799	1.088951	1.048001	1.081392	1.17558	0.92419	1.06633	0.957816	1.29038	1.013155	1.06881
TWAS21010906	1.1356	0.63898	1.16243	0.54419	1.19526	1.39327	1.27404	1.19136	1.069439	1.13016	1.049316	0.70528	1.16535	0.70665	1.0040855	1.19747	1.16284
TWAS21010909	0.78199	0.59415	0.75929	1.16814	0.37889	0.58587	0.81113	0.9951514	0.40157	0.77913	0.79653	0.65486	0.52521	0.70326	0.907031	0.69386	0.65656
TWAS21010911	1.12565	0.6077	1.14197	0.55571	1.1924	1.38285	1.36817	1.16739	1.10049	1.12719	1.034546	0.69908	1.14773	0.65117	1.16707	1.19167	1.15429
TWAS21010912	0.52353	0.44148	0.5147	0.42954	0.56253	0.52421	0.69575	0.62561	0.4786	0.51271	0.43311	0.53201	0.49201	0.55022	0.54608	0.48827	0.49932
TWAS21010913	1.11985	0.86237	1.14616	1.50441	1.14755	1.12384	1.33084	1.24276	1.079625	1.11635	1.24069	0.917624	1.12708	0.945461	1.29467	1.16292	1.10253
TWAS21010914	1.087244	0.88139	1.079794	1.33115	1.10623	0.89072	0.72632	1.1056	1.10998	1.086527	1.20381	0.931385	1.065004	0.984978	1.292	1.002393	1.087061
